Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ATP-binding cassette sub-family G member 1 [Leptinotarsa decemlineata],Leptinotarsa decemlineata,494,494,99%,9e-169,82.03,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023026989.1?report=genbank&log$=prottop&blast_rank=15&RID=23U6MCEG016"",""XP_023026989.1"")"
unnamed protein product [Phaedon cochleariae],Phaedon cochleariae,494,494,99%,2e-168,83.39,671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1173556.1?report=genbank&log$=prottop&blast_rank=16&RID=23U6MCEG016"",""CAH1173556.1"")"
unnamed protein product [Callosobruchus maculatus],Callosobruchus maculatus,489,489,99%,4e-168,81.42,572,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/VEN37613.1?report=genbank&log$=prottop&blast_rank=17&RID=23U6MCEG016"",""VEN37613.1"")"
ATP-binding cassette sub-family G member 4 isoform X2 [Anoplophora glabripennis],Anoplophora glabripennis,493,493,98%,1e-167,84.14,724,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018565252.1?report=genbank&log$=prottop&blast_rank=18&RID=23U6MCEG016"",""XP_018565252.1"")"
unnamed protein product [Acanthoscelides obtectus],Acanthoscelides obtectus,491,491,99%,3e-167,82.43,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1957138.1?report=genbank&log$=prottop&blast_rank=19&RID=23U6MCEG016"",""CAH1957138.1"")"
ATP-binding cassette sub-family G member 1 [Sitophilus oryzae],Sitophilus oryzae,489,489,97%,2e-166,83.62,678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030767263.1?report=genbank&log$=prottop&blast_rank=20&RID=23U6MCEG016"",""XP_030767263.1"")"
ATP-binding cassette sub-family G member 4 isoform X1 [Harmonia axyridis],Harmonia axyridis,488,488,99%,2e-166,81.57,671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_045481074.1?report=genbank&log$=prottop&blast_rank=21&RID=23U6MCEG016"",""XP_045481074.1"")"
ATP-binding cassette subfamily G member 4 [Cylas formicarius],Cylas formicarius,488,488,99%,3e-166,82.59,678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_060530214.1?report=genbank&log$=prottop&blast_rank=22&RID=23U6MCEG016"",""XP_060530214.1"")"
unnamed protein product [Ceutorhynchus assimilis],Ceutorhynchus assimilis,487,487,98%,4e-166,81.85,660,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAG9762885.1?report=genbank&log$=prottop&blast_rank=23&RID=23U6MCEG016"",""CAG9762885.1"")"
LOW QUALITY PROTEIN: ATP-binding cassette sub-family G member 1-like [Dalotia coriaria],Dalotia coriaria,485,485,100%,1e-164,80.34,708,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_065158252.1?report=genbank&log$=prottop&blast_rank=24&RID=23U6MCEG016"",""XP_065158252.1"")"
ATP-binding cassette sub-family G member 4 isoform X1 [Agrilus planipennis],Agrilus planipennis,484,484,100%,3e-164,81.14,704,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018319944.1?report=genbank&log$=prottop&blast_rank=25&RID=23U6MCEG016"",""XP_018319944.1"")"
unnamed protein product [Psylliodes chrysocephalus],Psylliodes chrysocephalus,483,483,98%,3e-164,81.38,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1102399.1?report=genbank&log$=prottop&blast_rank=26&RID=23U6MCEG016"",""CAH1102399.1"")"
ATP-binding cassette sub-family G member 4 isoform X1 [Coccinella septempunctata],Coccinella septempunctata,483,483,98%,5e-164,80.82,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044747965.1?report=genbank&log$=prottop&blast_rank=27&RID=23U6MCEG016"",""XP_044747965.1"")"
hypothetical protein WA026_009971 [Henosepilachna vigintioctopunctata],Henosepilachna vigintioctopunctata,483,483,99%,6e-164,80.89,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9871011.1?report=genbank&log$=prottop&blast_rank=28&RID=23U6MCEG016"",""KAK9871011.1"")"
ATP-binding cassette sub-family G member 1 [Onthophagus taurus],Onthophagus taurus,482,482,99%,8e-164,81.29,679,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022899791.2?report=genbank&log$=prottop&blast_rank=29&RID=23U6MCEG016"",""XP_022899791.2"")"
ATP-binding cassette sub-family G member 4 isoform X2 [Harmonia axyridis],Harmonia axyridis,481,481,97%,2e-163,81.88,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_045481075.1?report=genbank&log$=prottop&blast_rank=30&RID=23U6MCEG016"",""XP_045481075.1"")"
PREDICTED: ATP-binding cassette sub-family G member 4 [Nicrophorus vespilloides],Nicrophorus vespilloides,480,480,100%,6e-163,78.67,691,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017768632.1?report=genbank&log$=prottop&blast_rank=31&RID=23U6MCEG016"",""XP_017768632.1"")"
hypothetical protein ILUMI_04231 [Ignelater luminosus],Ignelater luminosus,480,480,100%,8e-163,79.60,700,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF2901954.1?report=genbank&log$=prottop&blast_rank=32&RID=23U6MCEG016"",""KAF2901954.1"")"
ATP-binding cassette subfamily G member 4 [Rhynchophorus ferrugineus],Rhynchophorus ferrugineus,479,479,97%,1e-162,81.88,678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_076274519.1?report=genbank&log$=prottop&blast_rank=33&RID=23U6MCEG016"",""XP_076274519.1"")"
uncharacterized protein CBL_10449 [Carabus blaptoides fortunei],Carabus blaptoides fortunei,479,479,99%,3e-162,81.08,695,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GLV33102.1?report=genbank&log$=prottop&blast_rank=34&RID=23U6MCEG016"",""GLV33102.1"")"
hypothetical protein FQA39_LY10235 [Lamprigera yunnana],Lamprigera yunnana,477,477,99%,1e-161,80.27,692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5302196.1?report=genbank&log$=prottop&blast_rank=35&RID=23U6MCEG016"",""KAF5302196.1"")"
hypothetical protein RI129_007155 [Pyrocoelia pectoralis],Pyrocoelia pectoralis,476,476,99%,2e-161,80.54,690,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK5643310.1?report=genbank&log$=prottop&blast_rank=36&RID=23U6MCEG016"",""KAK5643310.1"")"
hypothetical protein RN001_002762 [Aquatica leii],Aquatica leii,475,475,98%,8e-161,81.16,694,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK4886491.1?report=genbank&log$=prottop&blast_rank=37&RID=23U6MCEG016"",""KAK4886491.1"")"
ATP-binding cassette sub-family G member 4 isoform X2 [Agrilus planipennis],Agrilus planipennis,475,475,97%,8e-161,82.29,696,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018319945.1?report=genbank&log$=prottop&blast_rank=38&RID=23U6MCEG016"",""XP_018319945.1"")"
ATP-binding cassette subfamily G member 4 [Diorhabda carinulata],Diorhabda carinulata,474,474,99%,1e-160,79.32,673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_057660467.1?report=genbank&log$=prottop&blast_rank=39&RID=23U6MCEG016"",""XP_057660467.1"")"
ATP-binding cassette sub-family G member 4-like [Diorhabda sublineata],Diorhabda sublineata,474,474,99%,1e-160,79.32,673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_056646657.1?report=genbank&log$=prottop&blast_rank=40&RID=23U6MCEG016"",""XP_056646657.1"")"
unnamed protein product [Phyllotreta striolata],Phyllotreta striolata,473,473,99%,2e-160,79.73,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAG9863220.1?report=genbank&log$=prottop&blast_rank=41&RID=23U6MCEG016"",""CAG9863220.1"")"
unnamed protein product [Brassicogethes aeneus],Brassicogethes aeneus,472,472,98%,5e-160,80.20,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH0560072.1?report=genbank&log$=prottop&blast_rank=42&RID=23U6MCEG016"",""CAH0560072.1"")"
ATP-binding cassette sub-family G member 1 [Diabrotica undecimpunctata],Diabrotica undecimpunctata,471,471,99%,1e-159,80.34,680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_072388963.1?report=genbank&log$=prottop&blast_rank=43&RID=23U6MCEG016"",""XP_072388963.1"")"
ABC-2 type transporter [Popillia japonica],Popillia japonica,471,471,99%,3e-159,78.38,679,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9730388.1?report=genbank&log$=prottop&blast_rank=44&RID=23U6MCEG016"",""KAK9730388.1"")"
hypothetical protein PPYR_07394 [Photinus pyralis],Photinus pyralis,470,470,98%,4e-159,79.52,691,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAB0799514.1?report=genbank&log$=prottop&blast_rank=45&RID=23U6MCEG016"",""KAB0799514.1"")"
ATP-binding cassette sub-family G member 4 isoform X2 [Coccinella septempunctata],Coccinella septempunctata,469,469,95%,5e-159,81.27,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044747966.1?report=genbank&log$=prottop&blast_rank=46&RID=23U6MCEG016"",""XP_044747966.1"")"
ATP-binding cassette sub-family G member 4 isoform X1 [Anthonomus grandis grandis],Anthonomus grandis grandis,470,470,100%,6e-159,77.44,685,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050307985.1?report=genbank&log$=prottop&blast_rank=47&RID=23U6MCEG016"",""XP_050307985.1"")"
ATP-binding cassette subfamily G member 4 [Diabrotica virgifera virgifera],Diabrotica virgifera virgifera,468,468,99%,2e-158,80.00,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050504105.1?report=genbank&log$=prottop&blast_rank=48&RID=23U6MCEG016"",""XP_050504105.1"")"
ATP-binding cassette sub-family G member 1-like [Photinus pyralis],Photinus pyralis,469,469,98%,3e-158,79.73,700,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031342060.1?report=genbank&log$=prottop&blast_rank=49&RID=23U6MCEG016"",""XP_031342060.1"")"
abc transporter g family member 28 [Holotrichia oblita],Holotrichia oblita,465,465,99%,4e-158,77.33,593,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI4463706.1?report=genbank&log$=prottop&blast_rank=50&RID=23U6MCEG016"",""KAI4463706.1"")"
ATP-binding cassette subfamily G member 4 [Aethina tumida],Aethina tumida,466,466,98%,2e-157,79.79,677,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019865879.1?report=genbank&log$=prottop&blast_rank=51&RID=23U6MCEG016"",""XP_019865879.1"")"
ATP-binding cassette sub-family G member 4 isoform X2 [Anthonomus grandis grandis],Anthonomus grandis grandis,465,465,98%,5e-157,78.35,680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050307986.1?report=genbank&log$=prottop&blast_rank=52&RID=23U6MCEG016"",""XP_050307986.1"")"
abc transporter g family member 28 [Holotrichia oblita],Holotrichia oblita,465,465,99%,2e-156,77.33,747,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI4463703.1?report=genbank&log$=prottop&blast_rank=53&RID=23U6MCEG016"",""KAI4463703.1"")"
ATP-binding cassette sub-family G member 4 isoform X1 [Dendroctonus ponderosae],Dendroctonus ponderosae,463,463,98%,4e-156,77.74,687,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_048525227.1?report=genbank&log$=prottop&blast_rank=54&RID=23U6MCEG016"",""XP_048525227.1"")"
ABC transporter expressed in trachea isoform X1 [Ips typographus],Ips typographus,460,460,98%,6e-155,78.77,688,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_081837286.1?report=genbank&log$=prottop&blast_rank=55&RID=23U6MCEG016"",""XP_081837286.1"")"
ATP-binding cassette sub-family G member 4 isoform X2 [Dendroctonus ponderosae],Dendroctonus ponderosae,458,458,96%,2e-154,79.02,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_048525229.1?report=genbank&log$=prottop&blast_rank=56&RID=23U6MCEG016"",""XP_048525229.1"")"
hypothetical protein ABEB36_005321 [Hypothenemus hampei],Hypothenemus hampei,454,454,98%,7e-153,77.47,689,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL1505860.1?report=genbank&log$=prottop&blast_rank=57&RID=23U6MCEG016"",""KAL1505860.1"")"
ABC transporter expressed in trachea isoform X2 [Ips typographus],Ips typographus,452,452,97%,6e-152,79.09,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_081837287.1?report=genbank&log$=prottop&blast_rank=58&RID=23U6MCEG016"",""XP_081837287.1"")"
hypothetical protein ABEB36_005321 [Hypothenemus hampei],Hypothenemus hampei,451,451,96%,1e-151,78.75,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL1505859.1?report=genbank&log$=prottop&blast_rank=59&RID=23U6MCEG016"",""KAL1505859.1"")"
ATP-binding cassette subfamily G member 4 isoform X1 [Euwallacea similis],Euwallacea similis,450,450,100%,4e-151,75.68,692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_066245921.1?report=genbank&log$=prottop&blast_rank=60&RID=23U6MCEG016"",""XP_066245921.1"")"
hypothetical protein FQR65_LT04917 [Abscondita terminalis],Abscondita terminalis,469,815,96%,9e-151,81.34,1426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5272449.1?report=genbank&log$=prottop&blast_rank=61&RID=23U6MCEG016"",""KAF5272449.1"")"
ATP-binding cassette subfamily G member 4 isoform X1 [Euwallacea fornicatus],Euwallacea fornicatus,449,449,99%,1e-150,75.77,692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_066137709.1?report=genbank&log$=prottop&blast_rank=62&RID=23U6MCEG016"",""XP_066137709.1"")"
ATP-binding cassette sub-family G member 1 [Frankliniella occidentalis],Frankliniella occidentalis,447,447,98%,6e-150,75.76,695,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_052122455.1?report=genbank&log$=prottop&blast_rank=63&RID=23U6MCEG016"",""XP_052122455.1"")"
ATP-binding cassette subfamily G member 4 isoform X1 [Bacillus rossius redtenbacheri],Bacillus rossius redtenbacheri,447,447,97%,1e-149,76.90,703,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_063222771.1?report=genbank&log$=prottop&blast_rank=64&RID=23U6MCEG016"",""XP_063222771.1"")"
ATP-binding cassette subfamily G member 4 isoform X2 [Euwallacea fornicatus],Euwallacea fornicatus,445,445,96%,3e-149,76.92,688,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_066137720.1?report=genbank&log$=prottop&blast_rank=65&RID=23U6MCEG016"",""XP_066137720.1"")"
ATP-binding cassette subfamily G member 4 isoform X2 [Euwallacea similis],Euwallacea similis,445,445,97%,3e-149,77.00,688,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_066245922.1?report=genbank&log$=prottop&blast_rank=66&RID=23U6MCEG016"",""XP_066245922.1"")"
ATP-binding cassette subfamily G member 4 isoform X6 [Bacillus rossius redtenbacheri],Bacillus rossius redtenbacheri,446,446,96%,5e-149,77.08,721,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_063222776.1?report=genbank&log$=prottop&blast_rank=67&RID=23U6MCEG016"",""XP_063222776.1"")"
unnamed protein product [Chrysopa perla],Chrysopa perla,444,444,98%,7e-149,74.83,690,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAR4123253.1?report=genbank&log$=prottop&blast_rank=68&RID=23U6MCEG016"",""CAR4123253.1"")"
hypothetical protein M8J75_010631 [Diaphorina citri],Diaphorina citri,442,442,97%,2e-148,75.00,669,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI5710675.1?report=genbank&log$=prottop&blast_rank=69&RID=23U6MCEG016"",""KAI5710675.1"")"
PREDICTED: ATP-binding cassette sub-family G member 1-like isoform X1 [Dinoponera quadriceps],Dinoponera quadriceps,434,434,99%,3e-148,73.15,453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014468320.1?report=genbank&log$=prottop&blast_rank=70&RID=23U6MCEG016"",""XP_014468320.1"")"
ATP-binding cassette sub-family G member 1-like isoform X2 [Thrips palmi],Thrips palmi,442,442,98%,8e-148,75.00,698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034249814.1?report=genbank&log$=prottop&blast_rank=71&RID=23U6MCEG016"",""XP_034249814.1"")"
hypothetical protein M8J77_022326 [Diaphorina citri],Diaphorina citri,442,442,97%,8e-148,75.00,711,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI5752968.1?report=genbank&log$=prottop&blast_rank=72&RID=23U6MCEG016"",""KAI5752968.1"")"
unnamed protein product [Myrmeleon formicarius],Myrmeleon formicarius,442,442,98%,9e-148,74.50,696,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAN8898784.1?report=genbank&log$=prottop&blast_rank=73&RID=23U6MCEG016"",""CAN8898784.1"")"
PREDICTED: ATP-binding cassette sub-family G member 1-like isoform X2 [Dinoponera quadriceps],Dinoponera quadriceps,433,433,97%,9e-148,73.54,451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014468323.1?report=genbank&log$=prottop&blast_rank=74&RID=23U6MCEG016"",""XP_014468323.1"")"
hypothetical protein ONE63_004758 [Megalurothrips usitatus],Megalurothrips usitatus,441,441,97%,2e-147,75.52,707,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ1519472.1?report=genbank&log$=prottop&blast_rank=75&RID=23U6MCEG016"",""KAJ1519472.1"")"
ATP-binding cassette subfamily G member 4 isoform X1 [Halyomorpha halys],Halyomorpha halys,440,440,99%,4e-147,75.00,681,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014291101.1?report=genbank&log$=prottop&blast_rank=76&RID=23U6MCEG016"",""XP_014291101.1"")"
ATP-binding cassette sub-family G member 4 isoform X3 [Macrosteles quadrilineatus],Macrosteles quadrilineatus,439,439,97%,7e-147,74.32,686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_054261107.1?report=genbank&log$=prottop&blast_rank=77&RID=23U6MCEG016"",""XP_054261107.1"")"
ATP-binding cassette sub-family G member 4 isoform X2 [Chrysoperla carnea],Chrysoperla carnea,440,440,96%,8e-147,75.69,716,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044733111.1?report=genbank&log$=prottop&blast_rank=78&RID=23U6MCEG016"",""XP_044733111.1"")"
ATP-binding cassette sub-family G member 1 isoform X1 [Chrysoperla carnea],Chrysoperla carnea,440,440,96%,8e-147,75.69,708,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044733110.1?report=genbank&log$=prottop&blast_rank=79&RID=23U6MCEG016"",""XP_044733110.1"")"
ATP-binding cassette sub-family G member 4 isoform X2 [Cimex lectularius],Cimex lectularius,439,439,98%,8e-147,74.40,683,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024086064.1?report=genbank&log$=prottop&blast_rank=80&RID=23U6MCEG016"",""XP_024086064.1"")"
ATP-binding cassette subfamily G member 4 isoform X3 [Adelges cooleyi],Adelges cooleyi,439,439,98%,9e-147,73.74,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050422486.1?report=genbank&log$=prottop&blast_rank=81&RID=23U6MCEG016"",""XP_050422486.1"")"
ATP-binding cassette sub-family G member 1-like isoform X1 [Thrips palmi],Thrips palmi,439,439,97%,1e-146,75.43,710,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034249806.1?report=genbank&log$=prottop&blast_rank=82&RID=23U6MCEG016"",""XP_034249806.1"")"
hypothetical protein PUN28_018518 [Cardiocondyla obscurior],Cardiocondyla obscurior,435,435,99%,1e-146,73.06,594,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL0102017.1?report=genbank&log$=prottop&blast_rank=83&RID=23U6MCEG016"",""KAL0102017.1"")"
ATP-binding cassette sub-family G member 4 isoform X2 [Nasonia vitripennis],Nasonia vitripennis,439,439,100%,2e-146,73.18,696,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008204843.1?report=genbank&log$=prottop&blast_rank=84&RID=23U6MCEG016"",""XP_008204843.1"")"
ATP-binding cassette sub-family G member 4-like isoform X4 [Homalodisca vitripennis],Homalodisca vitripennis,438,438,97%,2e-146,74.32,690,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046664043.1?report=genbank&log$=prottop&blast_rank=85&RID=23U6MCEG016"",""XP_046664043.1"")"
ATP-binding cassette subfamily G member 4-like isoform X3 [Schistocerca gregaria],Schistocerca gregaria,438,438,96%,2e-146,74.65,702,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_049835451.1?report=genbank&log$=prottop&blast_rank=86&RID=23U6MCEG016"",""XP_049835451.1"")"
ATP-binding cassette subfamily G member 4-like isoform X1 [Schistocerca nitens],Schistocerca nitens,439,439,96%,2e-146,74.65,714,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_049789845.1?report=genbank&log$=prottop&blast_rank=87&RID=23U6MCEG016"",""XP_049789845.1"")"
ATP-binding cassette subfamily G member 4-like isoform X2 [Schistocerca americana],Schistocerca americana,438,438,96%,2e-146,74.65,702,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047001477.1?report=genbank&log$=prottop&blast_rank=88&RID=23U6MCEG016"",""XP_047001477.1"")"
ABC transporter [Riptortus pedestris],Riptortus pedestris,437,437,99%,2e-146,74.07,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAN20625.1?report=genbank&log$=prottop&blast_rank=89&RID=23U6MCEG016"",""BAN20625.1"")"
ATP-binding cassette subfamily G member 4-like isoform X2 [Schistocerca cancellata],Schistocerca cancellata,438,438,96%,3e-146,74.65,702,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_049763144.1?report=genbank&log$=prottop&blast_rank=90&RID=23U6MCEG016"",""XP_049763144.1"")"
ATP-binding cassette sub-family G member 4-like isoform X1 [Belonocnema kinseyi],Belonocnema kinseyi,431,431,99%,3e-146,73.06,508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033225536.1?report=genbank&log$=prottop&blast_rank=91&RID=23U6MCEG016"",""XP_033225536.1"")"
ATP-binding cassette subfamily G member 4-like isoform X1 [Schistocerca cancellata],Schistocerca cancellata,439,439,96%,3e-146,74.65,714,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_049763143.1?report=genbank&log$=prottop&blast_rank=92&RID=23U6MCEG016"",""XP_049763143.1"")"
ATP-binding cassette subfamily G member 4-like isoform X1 [Schistocerca americana],Schistocerca americana,439,439,96%,3e-146,74.65,714,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047001476.1?report=genbank&log$=prottop&blast_rank=93&RID=23U6MCEG016"",""XP_047001476.1"")"
